
 PRINT S    NODAL SOLUTION PER NODE
    NODE       SX             SY             SZ             SXY            SYZ            SXZ     
     133   0.449464      -0.983262E-003 -0.938518E-003 -0.248246E-001 -0.810576E-003  0.140423E-001
     134   0.186140      -0.633546E-002 -0.333292E-002 -0.213948E-001  0.832412E-003  0.116467E-001
     135   0.346456E-002  0.203601E-003 -0.364817E-002  0.416539E-002  0.208500E-003  0.190306E-002
     136  -0.448004E-001   1.92334      -0.443860E-001  0.142484E-001 -0.148073      -0.256781E-001
     137  -0.574802E-002   1.45290      -0.103321E-001  0.629574E-002 -0.480453E-002  0.214273E-002
     138  -0.347935E-002   1.48338      -0.710077E-002  0.580831E-002  0.348576E-002  0.694461E-003
     139   0.140062E-003   1.54770      -0.132229E-002  0.704477E-002  0.111409E-003 -0.467488E-003
     140   0.384920E-003   1.61580       0.354713E-003  0.473901E-002 -0.345703E-002 -0.105952E-003
     141   0.338338E-002   1.66821       0.821958E-003  0.612608E-002 -0.329662E-002 -0.156549E-003
     142   0.182060E-002   1.68264       0.666034E-003  0.559852E-003 -0.142479E-002 -0.608405E-003
     143   0.175617E-002   1.62626       0.136683E-002 -0.658672E-002  0.559867E-002 -0.336638E-003
     144   0.426071E-002   1.45490       0.285055E-002 -0.223499E-001  0.141868E-001 -0.770604E-003
     145   0.413212E-002   1.13735       0.210201E-002 -0.345833E-001  0.234884E-001 -0.126467E-002
     146  -0.974423E-002  0.750564      -0.310077E-003 -0.383186E-001  0.215296E-001  0.217307E-003
     147  -0.129628E-001  0.475439      -0.558122E-002 -0.923329E-002  0.598188E-002  0.172427E-002
     148  -0.273311E-002  0.472409      -0.636738E-002  0.397285E-001 -0.252746E-001 -0.863147E-003
     149   0.381489E-002  0.707789      -0.100490E-002  0.728716E-001 -0.346305E-001 -0.254241E-002
     150   0.459107E-003  0.960974       0.889869E-002  0.457458E-001 -0.253945E-001 -0.283495E-002
     151   0.557861E-002   1.06971       0.247714E-002  0.194250E-001 -0.123459E-001 -0.308283E-002
     152   0.123610E-001  0.962971       0.511516E-002 -0.163706E-001  0.388214E-002 -0.111877E-002
     153   0.323506E-002  0.720265      -0.903585E-004 -0.213123E-001  0.124786E-001 -0.712455E-004
     154  -0.104836E-002  0.431636      -0.577096E-003 -0.209912E-001  0.149551E-001  0.714320E-003
     155  -0.446146E-002  0.171551      -0.202584E-002 -0.165629E-001  0.867294E-002  0.850363E-003
     156  -0.378935E-002  0.221480E-001 -0.753697E-004  0.538327E-002 -0.149056E-002  0.219307E-002
     157   0.931108E-001  0.635236E-001  0.252427      -0.596727E-003 -0.149892      -0.249544E-001
     158   0.974386E-001  0.974386E-001  0.181037      -0.911003E-013 -0.215863      -0.703643E-001
     159   0.112618       0.149823       0.277097       0.304606E-002 -0.302276      -0.965329E-001
     160   0.236739       0.298157       0.565122       0.491855E-002 -0.482156      -0.199397     
     161   0.318142       0.498132       0.927569      -0.165251E-001 -0.842002      -0.334827     
     162   0.139666       0.134249       0.313840      -0.153225E-001  0.163399       0.220371E-001
     163  -0.422977E-001 -0.133804E-001 -0.628951E-001  0.803250E-002  0.201468E-001 -0.288303E-001
     164  -0.122683E-001 -0.142147E-001 -0.160238       0.276405E-002  0.536869E-003  0.679587E-003
     165  -0.222839E-001 -0.114704E-001 -0.708283E-001  0.681843E-002 -0.260084E-001  0.201332E-001
     166   0.377983E-001  0.751630E-001  0.112355      -0.418295E-002  0.223272       0.475731E-001
     167   0.869585E-001  0.134716       0.262852      -0.303608E-002  0.311600       0.852376E-001
     168   0.157879       0.260412       0.513054      -0.727839E-002  0.500332       0.153222     
     169   0.286057       0.517172       0.891395      -0.267831E-001  0.892002       0.316482     
     170  -0.869740E-002 -0.154333E-001  0.134615E-001 -0.124425E-001  0.116689E-003  0.363120E-004
     171  -0.816360E-002 -0.122550E-001  0.136121E-001 -0.114793E-001  0.295410E-003 -0.767285E-004
     172  -0.875364E-002 -0.844931E-002  0.140408E-001 -0.893890E-002 -0.907896E-003  0.537740E-003
     173   0.951338E-001  0.881598E-001  0.268434       0.100624E-002 -0.144982       0.298313E-001
     174   0.138490       0.101226       0.306151      -0.116466E-002 -0.119347      -0.984363E-002
     175   0.126240       0.937740E-001  0.266852      -0.182638E-002 -0.121156      -0.545045E-002
     176   0.936483E-001  0.515687E-001  0.216720       0.171456E-003 -0.104962      -0.504576E-002
     177   0.918847E-001  0.644590E-001  0.202469       0.635254E-003 -0.119274      -0.581597E-002
     178   0.113765       0.828648E-001  0.244161      -0.359102E-002 -0.113965       0.121595E-002
     179   0.822134E-001  0.469162E-001  0.189940       0.809270E-003 -0.114831       0.726252E-003
     180   0.107110       0.759675E-001  0.233579       0.457248E-003 -0.113612       0.884192E-003
     181   0.899241E-001  0.646346E-001  0.200909      -0.222002E-002 -0.119656       0.824981E-002
     182   0.115406       0.850603E-001  0.244704       0.197333E-002 -0.117729       0.133764E-002
     183   0.117457       0.872927E-001  0.246767      -0.934895E-003 -0.118459       0.431373E-002
     184   0.230829       0.230829       0.428870       0.830093E-012 -0.176196       0.440713E-002
     185   0.113521       0.103069       0.322568       0.430924E-002  0.143664      -0.268085E-001
     186  -0.769516E-002 -0.408142E-002 -0.573865E-001  0.117486E-003  0.423400E-001  0.186096E-001
     187  -0.459353E-002 -0.711595E-002 -0.169444      -0.171280E-002 -0.517991E-002 -0.144723E-003
     188  -0.117723E-001 -0.123217E-001 -0.583093E-001 -0.132836E-002 -0.414885E-001 -0.190656E-001
     189   0.134870       0.100018       0.291192       0.167259E-002  0.124382       0.889582E-002
     190   0.876196E-001  0.604587E-001  0.189625      -0.241426E-002  0.125194       0.267617E-002
     191   0.906194E-001  0.539302E-001  0.206827      -0.725739E-003  0.110358       0.702951E-002
     192   0.935489E-001  0.659854E-001  0.208455       0.147594E-002  0.117255       0.388509E-002
     193   0.913512E-001  0.658489E-001  0.201439      -0.223729E-002  0.119589      -0.186432E-004
