
 LIST ALL SELECTED NODES.   DSYS=      0

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R1          25.1     ***
 Ansys Mechanical Enterprise Academic Student      
 01055371  VERSION=WINDOWS x64   15:29:48  JUL 18, 2025 CP=      0.516

 full_plate--Static Structural (A5)                                            



   NODE        X                   Y                   Z
      165    24.0000000000        0.138777878100E-013   -3.50000000000     
      166    24.0000000000        -4.00000000000         7.00000000000     
      167    24.0000000000        -8.00000000000         7.00000000000     
      168    24.0000000000        -12.0000000000         7.00000000000     
      169    24.0000000000        -16.0000000000         7.00000000000     
      170    24.0000000000        -105.000000000         3.50000000000     
      171    24.0000000000        -105.000000000         0.00000000000     
      172    24.0000000000        -105.000000000        -3.50000000000     
      173   -24.0000000000        0.138777878100E-013   -7.00000000000     
      174    20.0000000000        0.138777878100E-013   -7.00000000000     
      175    16.0000000000        0.138777878100E-013   -7.00000000000     
      176    12.0000000000        0.138777878100E-013   -7.00000000000     
      177    8.00000000000        0.138777878100E-013   -7.00000000000     
      178    4.00000000000        0.138777878100E-013   -7.00000000000     
      179    0.00000000000        0.138777878100E-013   -7.00000000000     
      180   -4.00000000000        0.138777878100E-013   -7.00000000000     
      181   -8.00000000000        0.138777878100E-013   -7.00000000000     
      182   -12.0000000000        0.138777878100E-013   -7.00000000000     
      183   -16.0000000000        0.138777878100E-013   -7.00000000000     
      184   -20.0000000000        0.138777878100E-013   -7.00000000000     
      185   -24.0000000000        0.138777878100E-013    7.00000000000     
      186   -24.0000000000        0.138777878100E-013    3.50000000000     
      187   -24.0000000000        0.138777878100E-013    0.00000000000     
      188   -24.0000000000        0.138777878100E-013   -3.50000000000     
      189    20.0000000000        0.138777878100E-013    7.00000000000     
      190    16.0000000000        0.138777878100E-013    7.00000000000     
      191    12.0000000000        0.138777878100E-013    7.00000000000     
      192    8.00000000000        0.138777878100E-013    7.00000000000     
      193    4.00000000000        0.138777878100E-013    7.00000000000     
      194    0.00000000000        0.138777878100E-013    7.00000000000     
      195   -4.00000000000        0.138777878100E-013    7.00000000000     
      196   -8.00000000000        0.138777878100E-013    7.00000000000     
      197   -12.0000000000        0.138777878100E-013    7.00000000000     
      198   -16.0000000000        0.138777878100E-013    7.00000000000     
      199   -20.0000000000        0.138777878100E-013    7.00000000000     
      200   -24.0000000000        -4.00000000000        -7.00000000000     
      201   -24.0000000000        -8.00000000000        -7.00000000000     
      202   -24.0000000000        -12.0000000000        -7.00000000000     
      203   -24.0000000000        -16.0000000000        -7.00000000000     
      204   -24.0000000000        -105.000000000         3.50000000000     
      205   -24.0000000000        -105.000000000         0.00000000000     
      206   -24.0000000000        -105.000000000        -3.50000000000     
      207   -24.0000000000        -4.00000000000         7.00000000000     
      208   -24.0000000000        -8.00000000000         7.00000000000     
      209   -24.0000000000        -12.0000000000         7.00000000000     
      210   -24.0000000000        -16.0000000000         7.00000000000     
      211    5.90979109300        -66.9634821600         3.04046245600     
      212    5.56528706700        -70.2422265400         3.53115778900     
      213    5.63078221900        -65.9277327400        -3.88518483700     
      214    5.92132304800        -68.9684696000        -3.04206023500     
      215   -5.39037132900        -65.3648725000         3.04046245600     
      216   -5.91315530100        -69.0171501300         3.03492210900     
      217   -5.92132304800        -67.0315304000        -3.04206023500     
      218   -5.62975934800        -70.0750445000        -3.88732194300     
      219   -3.39951120800        -63.0559810300         3.83634437300     
      220   -4.23733715700        -63.7520624000        -3.03445749200     
      221   -4.18746747800        -72.2971055500         2.59841723500     
      222    3.04447570500        -73.1702193100         2.30345245900     
