Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	
10785	-7.9117	-20.561	2.9416	
10791	11.248	-19.662	-3.9751	
10792	7.7859	-20.147	-3.8323	
10793	8.477	-19.347	-2.1414	
10794	11.052	-18.916	-2.3139	
10796	9.7659	-20.522	-2.721	
11190	-17.905	-19.41	2.4701	
11193	-16.326	-18.651	3.567	
11194	-18.103	-20.117	3.987	
11347	-7.8157	-20.752	-3.1735	
11348	-8.4972	-21.072	-1.7287	
11349	-9.7908	-20.238	-3.6386	
11517	-17.306	-18.97	-3.8118	
11531	-21.029	-20.891	1.8881	
11956	3.9714	-20.653	-4.1202	
11959	2.0166	-20.335	-2.9295	
12163	-12.56	-20.363	1.535	
12164	-9.8815	-20.057	2.9644	
12167	-13.354	-20.528	3.316	
12168	-9.8865	-20.94	1.7451	
12178	14.619	-19.529	-3.3827	
12179	12.52	-19.145	-2.2888	
12180	11.234	-20.751	-2.696	
12183	6.4828	-20.06	-1.9735	
12186	3.8369	-20.542	-2.4737	
12188	6.5457	-19.249	-3.7853	
12234	2.7709	-20.961	1.6094	
12239	1.8089	-19.514	0.53427	
12240	0.93813	-20.023	1.9135	
12241	3.4382	-19.549	2.4176	
12242	1.7051	-20.263	3.2909	
12247	7.6611	-20.941	1.2943	
12302	9.4477	-19.692	1.5049	
12304	12.022	-19.261	1.3324	
12306	14.255	-21.052	3.4311	
12307	13.403	-19.34	3.8569	
12308	10.737	-20.867	0.92529	
12310	14.045	-20.201	2.0543	
12345	0.40376	-19.106	-0.47324	
12346	-2.1691	-19.264	-5.8609e-002	
12348	-0.46697	-19.615	0.90594	
12447	9.7485	-18.83	-0.45515	
12451	8.4628	-20.436	-0.8623	
12453	4.528	-19.742	-0.78282	
12455	6.1573	-19.777	1.1005	
12457	15.139	-21.013	-1.7953	
12458	13.039	-20.629	-0.7015	
12466	14.423	-18.782	-1.7215	
12469	17.988	-20.606	-2.1273	
12470	18.524	-19.386	-0.9859	
12471	16.445	-19.723	-0.99965	
12472	18.303	-19.046	-3.3129	
12473	17.503	-20.949	-3.5423	
12477	11.037	-20.005	-1.0348	
12479	14.345	-19.339	9.4191e-002	
12517	-10.642	-18.73	1.0543	
12518	-15.694	-19.959	0.30902	
12519	-15.423	-19.761	-1.8126	
12520	-12.248	-20.649	-0.366	
12522	-14.289	-20.709	-0.35449	
12525	-14.115	-19.2	1.406	
12526	-10.647	-19.612	-0.16497	
12527	-11.941	-18.778	-2.0748	
12528	-13.546	-18.979	-2.5626	
12533	-6.2732	-18.724	2.0636	
12536	-7.9685	-19.307	1.2645	
12537	-6.3782	-20.058	2.9988	
12815	0.6172	-21.151	-2.4766	
13304	-17.795	-20.685	-1.1285	
13305	-18.026	-19.01	0.3837	
13308	-16.487	-20.124	2.09	
13311	-19.542	-20.674	6.1917e-002	
13312	-19.71	-19.976	1.4061	
13322	-17.755	-18.812	-1.7379	
13325	-19.271	-20.476	-2.0597	
13326	-15.648	-19.704	-4.0002	
13339	15.936	-20.269	3.9956	
13340	18.656	-20.793	2.2066	
13342	16.577	-21.13	2.1929	
13744	-10.868	-20.392	-2.0658	
13838	19.989	-20.826	-0.29787	
13840	17.91	-21.163	-0.31162	
13841	19.768	-20.486	-2.6249	
13843	20.748	-20.414	2.4355	
13853	-19.502	-18.801	-0.5475	
13856	-15.082	-20.874	1.4265	
13979	15.726	-19.418	2.6187	
14189	-5.4789	-21.021	-3.2236	
14351	-4.2741	-18.856	-0.76819	
14354	-6.629	-18.68	-0.51876	
14360	-3.9233	-19.782	0.59484	
14361	-6.2782	-19.606	0.84427	
14362	-4.6879	-20.357	2.5786	
14417	-0.69078	-20.382	-0.86835	
14418	1.0113	-20.733	9.6195e-002	
14419	3.5114	-20.259	0.60035	
14421	-4.937	-20.045	-1.649	
14422	-5.6185	-20.365	-0.20429	
14423	-1.5615	-20.891	0.51083	
14424	-4.0283	-21.116	1.53	
14527	-16.685	-20.83	3.6069	
14532	-21.348	-18.755	-0.75994	
14534	18.446	-19.942	0.82979	
14535	20.304	-19.265	-1.4835	
14588	-7.2919	-19.869	-1.3996	
14590	-8.5855	-19.035	-3.3095	
14611	-6.3832	-20.94	1.7795	
14612	-9.267	-19.355	-1.8647	
14619	19.284	-20.829	-4.0399	
14624	-4.4735	-19.889	3.9812	
14679	3.4076	-21.008	3.357	
14680	4.5656	-19.074	3.5313	
14773	2.8325	-19.788	4.4045	
14778	-21.186	-19.767	0.47494	
14792	-12.166	-18.722	-4.2624	
